Env,Pop,Family,Position,Treatment,Lat,Long,Pair,GH,GH_Block,Roof_Block,Germ,Germ_JD,Hypocotyl(mm),Cotyledon(mm),LeafNum,Date_of_1Meas,Harvest Julian Day,Flowering Time,StemWidth,PlantHeight,NodeNum,Late,Broken,Sex,Dry Biomass,Flower Color,485,530,590,IsBlank,Soy Germ,Stem Colour
Agricultural,Bradley,170,2031,Control,41.16467102,-87.81988903,14,2,E,4,10,191,27.19,9.41,5,200,277,NA,NA,NA,NA,0,0,NA,,,25,62,52,1,na,
Agricultural,Granite,12,2032,Control,38.670222,-90.065665,6,1,B,4,,FALSE,,,,200,277,NA,NA,NA,NA,0,0,NA,,,60,168,154,1,na,
Agricultural,Prairie,64,2033,Control,41.35604002,-86.73699299,15,1,E,4,6,187,25.94,9.08,19,200,277,219,6.65,57.4,13,0,0,F,7.96,0,2080,1245,1914,0,na,0
Agricultural,Nunemaker,194,2034,Control,38.988681,-95.215847,16,2,G,4,9,190,23.27,11.2,9,200,277,NA,NA,NA,NA,0,0,NA,0.11,,1296,1351,2264,0,na,0
Natural,Gascondale,166,2035,Water,38.66783702,-91.55559699,9,2,E,4,6,187,30.27,11.45,21,200,277,232,10.41,71,28,0,0,F,16.018,0,1562,1140,2029,0,na,1
Agricultural,WSCSoy2,50,2036,Control,38.6589929,-90.7440433,8,1,D,4,8,189,25.78,10.13,8,200,277,235,8.13,69,22,0,0,M,4.03,0,1204,1083,2014,0,na,0
Agricultural,WSCSoy2,84,2037,Control,38.6589929,-90.7440433,8,1,F,4,7,188,28.04,11.52,12,199,277,226,8.19,66.2,27,0,0,F,,1,944,1250,2230,0,na,1
Agricultural,Mulberry,44,2038,Control,38.755485,-89.272475,5,1,D,4,8,189,26.91,7.74,7,199,277,235,8.39,76,32,0,0,M,5.882,1,845,705,1230,0,na,2
Agricultural,Hernan,86,2039,Soy,38.63920603,-91.51230698,9,1,F,4,6,187,47.29,10.39,8,199,277,229,8.59,65.6,25,0,0,M,9.72,0,1080,989,1635,0,0,0
Agricultural,Hernan,52,2040,Water,38.63920603,-91.51230698,9,1,D,4,6,187,41.22,8.65,5,199,277,254,11.41,64,27,1,0,F,10.16,1,1317,969,1602,0,na,0
Natural,WeldonSprings,15,2041,Soy,38.65643696,-90.73639403,8,1,B,4,6,187,25.94,8.64,13,199,277,235,5.33,57,20,0,0,M,1.024,0,947,841,1327,0,0,0
Agricultural,Jackson,54,2042,Soy,39.463458,-91.98047097,10,1,D,4,8,189,29.14,7.86,4,199,277,259,3.17,32,16,0,0,M,4.481,0,56,144,140,1,0,0
Natural,Pontiac,59,2043,Soy,40.87326997,-88.62446599,13,1,D,4,6,187,31.71,8.18,10,199,277,224,4.68,57.5,20,0,0,M,3.122,0,1277,1045,1814,0,0,0
Agricultural,Greenup,200,2044,Control,39.305104,-88.139778,4,2,W,4,7,188,31.32,12.48,15,199,277,214,10.82,59.6,16,0,0,M,6.035,1,701,703,912,0,na,0
Natural,Pontiac,125,2045,Soy,40.87326997,-88.62446599,13,2,B,4,9,190,19.26,5.78,3,199,277,263,3.1,20.2,9,0,0,NA,,,65,170,157,1,na,0
Agricultural,Weston,136,2046,Soy,41.37218297,-83.79889,1,2,C,4,7,188,21.09,5.49,10,199,277,263,4.42,39.5,13,0,0,NA,,,59,157,142,1,na,
Natural,Greentree ,47,2047,Soy,38.558781,-90.447501,7,1,D,4,9,190,24.88,13.06,5,199,277,263,4.6,62.5,20,0,0,F,0.968,0,830,747,1233,0,0,0
Agricultural,Chesterfield,48,2048,Control,38.66890403,-90.63545798,7,1,D,4,6,187,31.48,10.65,12,199,277,229,8.98,58.6,23,0,0,M,,0,717,564,910,0,na,
Agricultural,Weston,161,2049,Water,41.37218297,-83.79889,1,2,W,4,8,189,13.04,7.78,5,199,277,232,3.55,32,18,0,0,M,,0,2290,1635,3546,0,na,0
Natural,Lawrence,133,2050,Water,38.927036,-95.241462,17,2,C,4,,FALSE,,,,199,277,NA,NA,NA,NA,0,0,NA,,,56,143,134,1,na,
Agricultural,Granite,12,2051,Soy,38.670222,-90.065665,6,1,B,4,7,188,31.68,6.57,4,199,277,NA,NA,NA,NA,0,0,F,,,1201,1002,1757,0,1,0
Natural,Gascondale,119,2052,Soy,38.66783702,-91.55559699,9,2,B,4,6,187,37.14,7.88,6,199,277,259,9.1,71,22,0,0,F,,0,1489,1348,2378,0,1,0
Natural,Pontoon,11,2053,Control,38.699066,-90.068054,6,1,B,4,10,191,15.75,8.74,4,199,277,NA,NA,NA,NA,0,0,NA,,,29,73,64,1,na,
